"timestamp","used_qpl",why_too_many_qpl_resp,why_need_another_qpl_resp
"2022/04/11 2:10:40 PM GMT-3","Yes","No","Yes"
"2022/04/11 4:21:28 PM GMT-3","No",,
"2022/04/11 11:10:53 PM GMT-3","Yes","Yes","No"
"2022/04/12 5:48:09 AM GMT-3","Yes","Yes",
"2022/04/13 7:42:39 AM GMT-3","Yes","Yes","Yes"
"2022/04/13 9:17:02 AM GMT-3","Yes","Yes","Yes"
"2022/04/19 4:35:27 PM GMT-3","Yes",,
"2022/04/20 10:08:19 AM GMT-3","Yes","No","Yes"
"2022/04/21 5:39:13 AM GMT-3","Yes","No","Yes"
"2022/04/21 6:18:32 AM GMT-3","Yes",,
"2022/04/21 7:32:08 AM GMT-3","Yes",,
"2022/04/21 8:17:41 AM GMT-3","No",,
"2022/04/21 8:29:00 AM GMT-3","Yes","Yes","No"
"2022/04/21 8:35:39 AM GMT-3","Yes","Yes","Yes"
"2022/04/21 8:50:41 AM GMT-3","Yes",,
"2022/04/21 9:14:30 AM GMT-3","Yes","Yes",
"2022/04/21 10:34:25 AM GMT-3","Yes","No","Yes"
"2022/04/21 3:10:58 PM GMT-3","Yes","Yes",
"2022/04/21 9:18:14 PM GMT-3","Yes","Yes","No"
"2022/04/21 11:50:08 PM GMT-3","No",,
"2022/04/22 12:50:51 AM GMT-3","Yes","No","Yes"
"2022/04/22 2:45:44 AM GMT-3","Yes",,
"2022/04/22 7:30:53 AM GMT-3","Yes",,
"2022/04/22 8:54:41 AM GMT-3","Yes","Yes","No"
"2022/04/22 11:34:51 AM GMT-3","No",,
"2022/04/23 3:37:52 PM GMT-3","Yes","Yes","No"
"2022/04/25 4:39:03 AM GMT-3","Yes",,
"2022/04/26 6:42:44 AM GMT-3","Yes",,
"2022/04/26 6:46:12 AM GMT-3","Yes","Yes","No"
"2022/04/26 6:48:18 AM GMT-3","Yes",,
"2022/04/26 6:49:15 AM GMT-3","Yes","Yes","No"
"2022/04/26 6:49:54 AM GMT-3","Yes","Yes","No"
"2022/04/26 6:51:23 AM GMT-3","No",,
"2022/04/26 6:53:01 AM GMT-3","No",,
"2022/04/26 6:53:31 AM GMT-3","Yes","No","Yes"
"2022/04/26 6:54:24 AM GMT-3","Yes",,
"2022/04/26 6:56:01 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 6:58:49 AM GMT-3","Yes","Yes","No"
"2022/04/26 7:00:03 AM GMT-3","No",,
"2022/04/26 7:00:05 AM GMT-3","Yes",,
"2022/04/26 7:01:56 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:04:01 AM GMT-3","Yes","No","Yes"
"2022/04/26 7:17:10 AM GMT-3","Yes",,
"2022/04/26 7:18:33 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:21:32 AM GMT-3","Yes","No","Yes"
"2022/04/26 7:32:38 AM GMT-3","Yes",,
"2022/04/26 7:34:15 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:36:05 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:36:25 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:36:34 AM GMT-3","No",,
"2022/04/26 7:42:01 AM GMT-3","Yes",,"Yes"
"2022/04/26 7:42:19 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:43:07 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:48:26 AM GMT-3","Yes",,"No"
"2022/04/26 7:54:55 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 7:58:37 AM GMT-3","Yes",,
"2022/04/26 8:02:11 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 8:06:44 AM GMT-3","Yes",,
"2022/04/26 8:07:56 AM GMT-3","No",,
"2022/04/26 8:08:03 AM GMT-3","Yes","Yes","No"
"2022/04/26 8:18:17 AM GMT-3","Yes",,"Yes"
"2022/04/26 8:22:48 AM GMT-3","Yes","Yes","Yes"
"2022/04/26 8:28:01 AM GMT-3","Yes","No","Yes"
"2022/04/26 8:29:45 AM GMT-3","Yes","Yes",
"2022/04/26 8:33:35 AM GMT-3","Yes","Yes","No"
"2022/04/26 8:34:57 AM GMT-3","Yes","No","Yes"
"2022/04/26 8:39:26 AM GMT-3","Yes","Yes","No"
"2022/04/26 8:58:12 AM GMT-3","Yes",,"Yes"
"2022/04/26 9:02:34 AM GMT-3","Yes","Yes","No"
"2022/04/26 9:26:30 AM GMT-3","Yes","Yes","No"
"2022/04/26 9:41:17 AM GMT-3","Yes","Yes","No"
"2022/04/26 9:53:17 AM GMT-3","Yes","Yes",
"2022/04/26 10:01:06 AM GMT-3","Yes","No","Yes"
"2022/04/26 10:05:27 AM GMT-3","Yes",,
"2022/04/26 10:05:44 AM GMT-3","Yes",,
"2022/04/26 10:21:24 AM GMT-3","Yes",,
"2022/04/26 10:24:07 AM GMT-3","No",,
"2022/04/26 10:27:13 AM GMT-3","Yes","No","Yes"
"2022/04/26 10:40:17 AM GMT-3","Yes","Yes",
"2022/04/26 10:42:31 AM GMT-3","Yes",,
"2022/04/26 10:54:44 AM GMT-3","Yes",,
"2022/04/26 11:18:41 AM GMT-3","Yes","Yes","No"
"2022/04/26 11:23:55 AM GMT-3","No",,
"2022/04/26 11:29:34 AM GMT-3","No",,
"2022/04/26 11:31:50 AM GMT-3","Yes","Yes","No"
"2022/04/26 11:53:41 AM GMT-3","Yes","No","Yes"
"2022/04/26 12:00:22 PM GMT-3","Yes",,
"2022/04/26 12:32:11 PM GMT-3","Yes",,
"2022/04/26 1:04:56 PM GMT-3","Yes","No",
"2022/04/26 1:45:52 PM GMT-3","Yes","No","No"
"2022/04/26 2:21:56 PM GMT-3","Yes","Yes","No"
"2022/04/26 3:21:13 PM GMT-3","Yes",,
"2022/04/26 5:07:49 PM GMT-3","Yes","No","Yes"
"2022/04/26 6:07:53 PM GMT-3","Yes",,
"2022/04/26 6:11:11 PM GMT-3","Yes","Yes",
"2022/04/27 2:45:36 AM GMT-3","Yes","No","No"
"2022/04/27 2:46:25 AM GMT-3","Yes",,"No"
"2022/04/27 2:53:50 AM GMT-3","Yes","No","Yes"
"2022/04/27 3:32:53 AM GMT-3","No",,
"2022/04/27 7:19:56 AM GMT-3","Yes","Yes","No"
"2022/04/27 8:03:11 AM GMT-3","Yes","Yes","Yes"
"2022/04/27 8:16:06 AM GMT-3","Yes",,
"2022/04/27 8:49:09 AM GMT-3","Yes",,
"2022/04/27 9:05:36 AM GMT-3","Yes",,
"2022/04/27 10:33:14 AM GMT-3","Yes","No","Yes"
"2022/04/27 10:44:05 AM GMT-3","Yes","Yes","No"
"2022/04/27 1:52:51 PM GMT-3","Yes","Yes","No"
"2022/04/27 4:24:28 PM GMT-3","Yes",,"No"
"2022/04/27 5:14:37 PM GMT-3","Yes","No","Yes"
"2022/04/27 9:24:45 PM GMT-3","Yes",,
"2022/04/28 3:05:55 AM GMT-3","Yes","Yes","No"
"2022/04/28 4:00:26 AM GMT-3","No",,
"2022/04/28 8:55:07 AM GMT-3","Yes","No","Yes"
"2022/04/28 9:24:43 AM GMT-3","Yes",,
"2022/04/28 3:23:09 PM GMT-3","Yes","Yes","No"
"2022/04/28 8:33:17 PM GMT-3","Yes","Yes",
"2022/04/29 4:29:58 AM GMT-3","Yes","Yes","Yes"
"2022/04/29 1:18:56 PM GMT-3","Yes","Yes","No"
"2022/04/29 5:05:33 PM GMT-3","Yes","Yes",
"2022/04/30 12:34:06 AM GMT-3","Yes","Yes",
"2022/05/01 8:25:14 AM GMT-3","Yes","Yes","Yes"
"2022/05/01 6:40:27 PM GMT-3","Yes","Yes","Yes"
"2022/05/02 4:17:28 AM GMT-3","No",,
"2022/05/02 8:26:23 PM GMT-3","Yes","No","Yes"
"2022/05/03 8:46:09 AM GMT-3","Yes","Yes","Yes"
"2022/05/03 1:09:27 PM GMT-3","No",,
"2022/05/05 4:10:53 AM GMT-3","Yes","Yes","No"
"2022/05/05 4:58:37 AM GMT-3","No",,
"2022/05/05 5:21:01 AM GMT-3","No",,
"2022/05/05 5:26:44 AM GMT-3","Yes","No","Yes"
"2022/05/05 5:31:45 AM GMT-3","Yes",,
"2022/05/05 5:39:28 AM GMT-3","No",,
"2022/05/05 5:40:11 AM GMT-3","Yes","Yes","Yes"
"2022/05/05 5:42:06 AM GMT-3","Yes",,
"2022/05/05 5:43:29 AM GMT-3","Yes",,
"2022/05/05 5:46:51 AM GMT-3","Yes",,
"2022/05/05 5:57:34 AM GMT-3","No",,
"2022/05/05 5:58:44 AM GMT-3","Yes","No","No"
"2022/05/05 6:14:14 AM GMT-3","Yes",,
"2022/05/05 7:01:30 AM GMT-3","No",,
"2022/05/05 7:25:15 AM GMT-3","Yes","Yes",
"2022/05/05 7:30:28 AM GMT-3","No",,
"2022/05/05 7:34:33 AM GMT-3","Yes",,
"2022/05/05 7:48:15 AM GMT-3","Yes",,
"2022/05/05 8:03:28 AM GMT-3","Yes",,
"2022/05/05 8:08:19 AM GMT-3","No",,
"2022/05/05 8:15:03 AM GMT-3","No",,
"2022/05/05 8:22:03 AM GMT-3","Yes",,
"2022/05/05 8:22:24 AM GMT-3","No",,
"2022/05/05 8:23:21 AM GMT-3","No",,
"2022/05/05 9:14:25 AM GMT-3","Yes",,
"2022/05/05 9:28:01 AM GMT-3","Yes","Yes",
"2022/05/05 9:58:11 AM GMT-3","No",,
"2022/05/05 10:26:24 AM GMT-3","Yes",,"No"
"2022/05/05 10:27:00 AM GMT-3","Yes","No","Yes"
"2022/05/05 10:46:35 AM GMT-3","Yes",,
"2022/05/05 11:02:12 AM GMT-3","No",,
"2022/05/05 11:24:13 AM GMT-3","Yes",,
"2022/05/05 11:48:07 AM GMT-3","Yes","Yes",
"2022/05/05 1:10:53 PM GMT-3","No",,
"2022/05/05 1:20:21 PM GMT-3","No",,
"2022/05/05 1:26:27 PM GMT-3","Yes",,
"2022/05/05 1:32:32 PM GMT-3","Yes",,
"2022/05/05 1:57:12 PM GMT-3","Yes",,
"2022/05/05 2:17:57 PM GMT-3","Yes","No","Yes"
"2022/05/05 3:00:19 PM GMT-3","No",,
"2022/05/05 3:53:00 PM GMT-3","Yes","Yes","No"
"2022/05/05 7:18:23 PM GMT-3","Yes","Yes","No"
"2022/05/06 12:37:18 AM GMT-3","No",,
"2022/05/06 6:14:46 AM GMT-3","Yes","No","Yes"
"2022/05/06 8:22:58 AM GMT-3","Yes","Yes","Yes"
"2022/05/06 10:00:12 AM GMT-3","Yes",,
"2022/05/06 12:50:30 PM GMT-3","Yes",,
"2022/05/06 3:39:01 PM GMT-3","Yes","Yes","Yes"
"2022/05/08 9:06:06 PM GMT-3","Yes",,
"2022/05/09 8:15:24 AM GMT-3","Yes","Yes","Yes"
"2022/05/09 11:30:13 AM GMT-3","Yes","Yes","Yes"
"2022/05/09 12:55:55 PM GMT-3","Yes",,
"2022/05/09 2:51:55 PM GMT-3","Yes",,"No"
"2022/05/09 5:29:32 PM GMT-3","No",,
"2022/05/11 12:21:28 PM GMT-3","Yes",,
"2022/05/12 12:31:12 AM GMT-3","Yes","Yes","Yes"
"2022/05/12 1:54:21 PM GMT-3","Yes",,"No"
"2022/05/13 3:38:04 PM GMT-3","Yes","Yes",
"2022/05/16 7:29:40 AM GMT-3","Yes","No",
"2022/05/18 3:08:06 PM GMT-3","Yes",,"No"
"2022/05/18 3:14:17 PM GMT-3","Yes","Yes",
"2022/05/18 3:32:37 PM GMT-3","No",,
"2022/05/18 3:39:21 PM GMT-3","Yes","Yes",
"2022/05/18 4:22:31 PM GMT-3","Yes",,
"2022/05/18 4:52:51 PM GMT-3","Yes",,
"2022/05/18 5:26:44 PM GMT-3","Yes","Yes","No"
"2022/05/18 6:37:30 PM GMT-3","No",,
"2022/05/18 7:13:47 PM GMT-3","Yes",,
"2022/05/18 8:41:24 PM GMT-3","Yes","No","Yes"
"2022/05/19 1:16:22 AM GMT-3","Yes","No","No"
"2022/05/19 1:32:39 AM GMT-3","Yes",,
"2022/05/19 4:43:50 AM GMT-3","Yes","No","Yes"
"2022/05/19 5:08:56 AM GMT-3","Yes","No","No"
"2022/05/19 5:59:02 AM GMT-3","Yes",,
"2022/05/19 6:57:12 AM GMT-3","No",,
"2022/05/19 7:54:17 AM GMT-3","Yes","Yes","No"
"2022/05/19 9:32:05 AM GMT-3","No",,
"2022/05/19 10:10:01 AM GMT-3","Yes",,"Yes"
"2022/05/20 12:51:15 PM GMT-3","Yes",,
"2022/05/21 12:03:05 PM GMT-3","Yes","Yes","No"
"2022/05/24 8:32:11 AM GMT-3","Yes","Yes",
"2022/05/24 8:51:57 AM GMT-3","Yes","No","Yes"
"2022/05/24 8:57:37 AM GMT-3","Yes","Yes","No"
"2022/05/24 9:31:44 AM GMT-3","Yes","Yes","No"
"2022/05/25 7:21:27 PM GMT-3","Yes","Yes",
"2022/05/26 1:06:03 AM GMT-3","Yes",,
"2022/05/26 2:11:36 AM GMT-3","Yes","No","Yes"
"2022/05/26 3:32:20 AM GMT-3","Yes",,
"2022/05/26 3:31:08 PM GMT-3","Yes",,
"2022/05/26 5:19:45 PM GMT-3","No",,
"2022/05/30 1:09:24 AM GMT-3","No",,
"2022/05/31 8:47:21 AM GMT-3","No",,
"2022/05/31 3:26:22 PM GMT-3","Yes","Yes","Yes"
